Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chevrolet Colorado,"7,707","7,707","8,670","4,989","4,797","4,989","4,285","4,126","4,285","7,151","7,151","7,151","73,008"
Chevrolet Silverado,"40,509","40,509","45,573","55,623","53,484","55,623","41,535","39,997","41,535","38,459","38,459","38,459","529,765"
Ford F-Series,"55,276","64,478","84,043","66,302","46,260","45,672","52,314","57,321","63,164","68,259","60,418","62,496","726,003"
Ford Maverick,-,-,-,-,-,-,-,-,506,"4,140","2,582","6,030","13,258"
Ford Ranger,"6,102","6,954","11,110","12,801","14,303","7,101","5,960","3,271","5,104","7,218","7,839","6,992","94,755"
GMC Canyon,"2,286","2,286","2,572","1,805","1,736","1,805","1,849","1,781","1,849","2,052","2,052","2,052","24,125"
GMC Sierra,"20,133","20,133","22,650","25,492","24,511","25,492","17,811","17,152","17,811","19,246","19,246","19,246","248,923"
Honda Ridgeline,"2,616","3,873","6,081","4,607","4,387","2,806","2,355","1,463","2,684","3,257","3,410","3,816","41,355"
Hyundai Santa Cruz,-,-,-,-,-,-,81,"1,252","1,252","1,848","2,201","3,000","9,634"
Jeep Gladiator,"6,023","6,023","6,776","10,117","9,728","10,117","7,652","7,369","7,652","6,085","6,085","6,085","89,712"
Nissan Frontier,"3,450","3,450","3,881","5,272","5,069","5,272","3,938","3,792","3,938","7,545","7,545","7,545","60,697"
Nissan Titan,"2,388","2,388","2,687","3,482","3,348","3,482","1,686","1,624","1,686","1,545","1,545","1,545","27,406"
Ram Pickup,"47,628","47,628","53,581","55,455","53,322","55,455","41,075","39,554","41,075","44,872","44,872","44,872","569,389"
Toyota Tacoma,"18,878","20,578","26,993","24,448","23,488","24,911","23,558","19,661","18,086","14,650","17,816","19,423","252,490"
Toyota Tundra,"6,334","5,819","6,981","7,512","9,595","7,624","6,444","5,876","8,828","9,750","3,446","3,750","81,959"
Chevrolet Suburban,"3,566","40,509","4,011","4,516","4,342","4,516","3,263","3,142","3,263","4,677","4,677","4,677","85,159"
Chevrolet Tahoe,"7,369","7,369","8,290","9,423","9,061","9,423","8,168","7,866","8,168","10,294","10,294","10,294","106,019"
Ford Expedition,"5,109","7,228","9,926","8,880","8,912","7,453","5,457","5,355","5,884","5,648","4,577","7,559","81,988"
GMC Yukon,"5,907","5,907","6,645","8,056","7,746","8,056","5,882","5,664","5,882","8,166","8,166","8,166","84,243"
Jeep Wagoneer,-,-,-,-,-,-,-,-,42,"1,769","1,769","1,769","5,349"
Nissan Armada,"2,431","2,431","2,735","2,464","2,369","2,464","1,279","1,232","1,279","1,377","1,377","1,377","22,815"
Toyota Sequoia,674,611,752,770,795,736,728,537,508,450,704,805,"8,070"
Buick Enclave,"3,397","3,397","3,822","5,097","4,901","5,097","2,573","2,477","2,573","2,875","2,875","3,256","42,340"
Chevrolet Blazer,"6,165","6,165","6,935","6,952","6,685","6,952","3,538","3,407","3,538","6,662","6,662","6,662","70,323"
